Company_Brand,Funding_Year,HeadQuarter,Sector,Amount($),Stage,Funding,Category
GenieTalk,2021,Indore,tech company,10714.29,Unknown,Others,Technology
Classplus,2021,Noida,edtech,142857.14,Unknown,Others,Technology
Mobile Premier League,2021,Bangalore,entertainment,1057142.86,Unknown,Others,Social
Fourth Partner Energy,2021,Hyderabad,solar solution,228571.43,Unknown,Others,Solutions
Flipkart,2021,Bangalore,e-commerce,885714.29,Unknown,Others,Others
Vivriti Capital,2021,Chennai,fintech,14285.71,Unknown,Others,Technology
InsuranceDekho,2021,Ludhiana,fintech,285714.29,Unknown,Others,Technology
BestDoc,2021,Kochi,healthcare,30000.0,Unknown,Others,Transportation
Byju’s,2021,Bangalore,edtech,7142857.14,Unknown,Others,Technology
Melorra,2021,Bangalore,jewellery startup,178571.43,Unknown,Others,Startup
Reliance,2021,Mumbai,multinational conglomerate company,31428571.43,Unknown,Others,Others
Inflexor Ventures,2021,Mumbai,fintech,142857.14,Unknown,Others,Technology
Pandorum,2021,Bangalore,deeptech startup,72285.71,Unknown,Others,Technology
SpeakIn,2021,Noida,social network,4710672.330723327,Unknown,Others,Networking
LetsUp,2021,Mumbai,publication,4710672.330723327,Unknown,Others,Others
Newsreach,2021,Gujarat,publication,4710672.330723327,Unknown,Others,Others
Dream11,2021,Mumbai,entertainment,3214285.71,Unknown,Others,Social
SignalX,2021,Hyderabad,saas platform,10714.29,Unknown,Others,Saas
JetSynthesys,2021,Mumbai,tech,571428.57,Unknown,Others,Technology
Vesta Space Technology,2021,Pune,tech startup,142857.14,Unknown,Others,Technology
Dozee,2021,Bangalore,healthtech,22857.14,Unknown,Others,Technology
Rebel Foods,2021,Pune,food,714285.71,Unknown,Others,Restaurant
Nykaa,2021,Mumbai,fashion,352857.14,Unknown,Others,Beauty
Ketto,2021,Mumbai,finance,110000.0,Unknown,Others,Finance
Suryoday,2021,Mumbai,finance,11428.57,Unknown,Others,Finance
SucSEED,2021,Hyderabad,finance,18571.43,Unknown,Others,Finance
Unacademy,2021,Bangalore,edtech,2142857.14,Unknown,Others,Technology
Strata,2021,Bangalore,real estate,272390.4,Unknown,Others,Real estate
3one4 Capital,2021,Bangalore,venture capital,1428571.43,Unknown,Others,Finance
WE-Hub,2021,Hyderabad,entreprenurship,4710672.330723327,Unknown,Others,Others
Zomato,2021,Haryana,food devlivery,885714.29,Unknown,Others,Restaurant
Vicara,2021,Bangalore,tech startup,4710672.330723327,Unknown,Others,Technology
Gaana,2021,Gurugram,entertainment,728571.43,Unknown,Others,Social
EM3 Agri,2021,Noida,agritech,14285.71,Unknown,Others,Technology
Plum,2021,Thane,cosmetics,1642.86,Unknown,Others,Beauty
Odwen,2021,Noida,warehouse,771.43,Unknown,Others,Real estate
Fasal,2021,Bangalore,agritech,285.71,Unknown,Others,Technology
Trukky,2021,Ahmedabad,logistics,4710672.330723327,Unknown,Others,Transportation
BankBazaar,2021,Chennai,online financial service,128571.43,Unknown,Others,Finance
Specsmakers,2021,Chennai,eyeglasses,42857.14,Unknown,Others,Others
Grinntech,2021,Dehradun,battery design,28571.43,Unknown,Others,Real estate
CreditMantri,2021,Chennai,online credit management startup,11473.51,Unknown,Others,Management
Chai Waale,2021,Chennai,beverage,3400.0,Unknown,Others,Restaurant
Deepsync,2021,Bangalore,tech startup,4285.71,Unknown,Others,Technology
ConnectedH,2021,Gurgaon,healthcare,4710672.330723327,Unknown,Others,Transportation
Reliance Retail,2021,Mumbai,e-commerce,146000.0,Unknown,Others,Others
QShala,2021,Bangalore,edtech,4285.71,Unknown,Others,Technology
Pitstop,2021,Bangalore,car service,14571.43,Unknown,Others,Transportation
Zomato,2021,Haryana,food devlivery,1428571.43,Unknown,Others,Restaurant
Customfit ai,2021,Bangalore,saas startup,4710672.330723327,Unknown,Others,Saas
Nirmata,2021,San Franciscao,tech,4710672.330723327,Unknown,Others,Technology
Hire Me Car,2021,Noida,traveltech,4710672.330723327,Seed,Seed Stage,Technology
Oga Fit,2021,Bangalore,fitness startup,4710672.330723327,Pre Series A,Pre_Series Stage,Health
ShipsKart,2021,New Delhi,e-commerce,2857.14,Pre Series A,Pre_Series Stage,Others
SquadStack,2021,San Francisco,tech company,71428.57,Series A,Series_Stage,Technology
Financepeer,2021,Mumbai,edtech,42857.14,Pre Series A,Pre_Series Stage,Technology
Cashify,2021,Gurugram,e-commerce,142857.14,Debt,Debt Stage,Others
Etrio,2021,Hyderabad,ev startup,42857.14,Series A,Series_Stage,Startup
Codeyoung,2021,Bangalore,edtech,4710672.330723327,Seed,Seed Stage,Technology
StayQrious,2021,Bangalore,edtech,28571.43,Seed,Seed Stage,Technology
Sunstone Eduversity,2021,Gurugram,edtech,42857.14,Series A,Series_Stage,Technology
Infilect,2021,Bangalore,saas startup,21428.57,Pre Series A,Pre_Series Stage,Saas
MobiGarage,2021,New Delhi,e-commerce,4710672.330723327,Pre Series A,Pre_Series Stage,Others
Samunnati,2021,Chennai,agriculture,285714.29,Debt,Debt Stage,Farming
WeInnovate Biosolutions,2021,Pune,startup laboratory,4710672.330723327,Seed,Seed Stage,Startup
Yummy Corp,2021,Tangerang,food industry,171428.57,Series B,Series_Stage,Restaurant
Smallcase,2021,Bangalore,fintech,191428.57,Series B,Series_Stage,Technology
Clairvolex,2021,California,tech startup,28571.43,Debt,Debt Stage,Technology
Assiduus,2021,Bangalore,e-commerce,14285.71,Series A,Series_Stage,Others
Brinton,2021,California,healthtech,18571.43,Debt,Debt Stage,Technology
AFK Gaming,2021,Mumbai,entertainment,2857.14,Pre Series A,Pre_Series Stage,Social
Infarm,2021,Berlin,agritech,2428571.43,Series C,Series_Stage,Technology
Zuper,2021,Seattle,saas startup,15714.29,Seed,Seed Stage,Saas
mCaffeine,2021,Mumbai,personal care startup,41428.57,Series B,Series_Stage,Transportation
Origa,2021,Andheri,fintech,28571.43,Debt,Debt Stage,Technology
GullyBuy Software,2021,Pune,tech startup,7757.14,Pre Series A,Pre_Series Stage,Technology
Recordent,2021,Hyderabad,fintech,4710672.330723327,Seed,Seed Stage,Technology
MPL,2021,Bangalore,entertainment,1285714.29,Series C,Series_Stage,Social
Penny,2021,Riyadh,saas startup,18571.43,Seed,Seed Stage,Saas
Onsitego,2021,Mumbai,customer service company,428571.43,Series B,Series_Stage,Others
Precily,2021,California,saas  startup,4710672.330723327,Seed,Seed Stage,Saas
SmartClean,2021,Singapore,tech startup,48571.43,Pre  Series A,Others,Technology
ClanConnect,2021,Delhi,marketing startup,8571.43,Seed,Seed Stage,Marketing
Servify,2021,Mumbai,service industry,328571.43,Series C,Series_Stage,Others
ShareChat,2021,Bangalore,social media,571428.57,Pre Series C,Others,Social
Rephrase.ai,2021,Bangalore,ai,21428.57,Seed,Seed Stage,Ai
Melorra,2021,Bangalore,jewellery,115571.43,Debt,Debt Stage,Others
FabHotels,2021,Gurugram,hospitality,14714.29,Series B,Series_Stage,Others
EkAnek,2021,New Delhi,tech startup,72000.0,Edge,Others,Technology
