Company_Brand,Funding_Year,HeadQuarter,Sector,Amount($),Stage,Funding,Category
Xplorabox,2018,Noida,"e-commerce, education, health care",0.0,Seed,Seed Stage,Education
Myra,2018,Bangalore,"apps, health care, pharmaceutical",125000.0,Venture   Series Unknown,Others,Technology
Vokal,2018,Bengaluru,"internet, knowledge management",21428.57,Series A,Series_Stage,Technology
Kissht,2018,Mumbai,"credit, finance, fintech, lending, sales automation",428571.43,Series C,Series_Stage,Technology
Upwards Fintech,2018,Mumbai,"banking, financial services, internet",71428.57,Series A,Series_Stage,Technology
Bon(Bonfleet Solutions),2018,Pune,"financial services, fintech",1114285.71,Seed,Seed Stage,Technology
Mamaearth,2018,Gurgaon,"e-commerce, health care, retail",57142.86,Series A,Series_Stage,Transportation
BabyChakra,2018,Mumbai,"child care, information technology",0.0,Series B,Series_Stage,Technology
Belstar Investment and Finance Private Limited,2018,Chennai,"financial services, micro lending",400000.0,Venture   Series Unknown,Others,Finance
Naaptol,2018,Mumbai,"e-commerce, retail, shopping",214285.71,Venture   Series Unknown,Others,Ai
Moonshine Meadery,2018,Pune,food and beverage,0.0,Seed,Seed Stage,Restaurant
Verzeo,2018,Bangalore,e-learning,71428.57,Series A,Series_Stage,Others
Haazri,2018,Mumbai,"food and beverage, snack food, tea",178571.43,Seed,Seed Stage,Restaurant
Connect India,2018,New Delhi,"delivery service, e-commerce, logistics",0.0,Angel,Later Stage,Transportation
Flyrobe,2018,Mumbai,"fashion, lifestyle, rental",3771428.57,Series B,Series_Stage,Beauty
Scholify,2018,Bengaluru,,0.0,Pre Seed,Pre_Seed Stage,Others
Dream11,2018,Mumbai,"fantasy sports, mobile, sports",1428571.43,Series D,Series_Stage,Sports
srJna,2018,Jaipur,education,0.0,Seed,Seed Stage,Education
Nykaa,2018,Mumbai,"beauty, fashion, wellness",16142857.14,Secondary Market,Later Stage,Social
Chaayos,2018,New Delhi,"food and beverage, restaurants, tea",11571428.57,Series B,Series_Stage,Restaurant
Heelium,2018,Pune,"fitness, sporting goods, sports",0.0,Seed,Seed Stage,Health
LT Foods,2018,New Delhi,"food and beverage, food processing, manufacturing",20000000.0,Post Ipo Equity,Others,Restaurant
Multibashi,2018,Bengaluru,"e-learning, internet",142857.14,Seed,Seed Stage,Technology
Cleardekho,2018,Ghaziabad,"eyewear, internet",0.0,Venture   Series Unknown,Others,Technology
Dailyhunt,2018,Bangalore,"information technology, mobile, news, operating systems, social media, social news",85714.29,Series E,Series_Stage,Technology
SlicePay,2018,Bengaluru,"fintech, internet, payments, service industry",212857.14,Series A,Series_Stage,Technology
Udaan,2018,Bangalore,"b2b, business development, internet, marketplace",3214285.71,Series C,Series_Stage,Technology
Happyeasygo Group,2018,Haryana,"tourism, travel",0.0,Series A,Series_Stage,Others
Mombay,2018,Mumbai,"food and beverage, food delivery, internet",107.14,Seed,Seed Stage,Technology
Droni Tech,2018,Mumbai,information technology,500000.0,Seed,Seed Stage,Technology
Netmeds,2018,Chennai,"biotechnology, health care, pharmaceutical",500000.0,Series C,Series_Stage,Technology
Bombay Shaving,2019,Unknown,ecommerce,6300000.0,Unknown,Others,Others
Ruangguru,2019,Mumbai,edtech,150000000.0,Series C,Series_Stage,Technology
Eduisfun,2019,Mumbai,edtech,28000000.0,Fresh Funding,Others,Technology
HomeLane,2019,Chennai,interior design,30000000.0,Series D,Series_Stage,Real estate
Nu Genes,2019,Telangana,agritech,6000000.0,Unknown,Others,Technology
FlytBase,2019,Pune,technology,0.0,Unknown,Others,Technology
Finly,2019,Bangalore,saas,0.0,Unknown,Others,Saas
Kratikal,2019,Noida,technology,1000000.0,Pre Series A,Pre_Series Stage,Technology
Quantiphi,2019,Unknown,ai & tech,20000000.0,Series A,Series_Stage,Technology
Lenskart,2019,Delhi,e-commerce,275000000.0,Series G,Series_Stage,Others
Cub McPaws,2019,Mumbai,e-commerce & ar,0.0,Unknown,Others,Others
Appnomic,2019,Bangalore,saas,22000000.0,Unknown,Others,Saas
Kaleidofin,2019,Chennai,fintech,5000000.0,Series A,Series_Stage,Technology
JobSquare,2019,Ahmedabad,hr tech,140500.0,Unknown,Others,Technology
Open Secret,2019,Unknown,food tech,0.0,Unknown,Others,Technology
LivFin,2019,Delhi,fintech,5000000.0,Unknown,Others,Technology
Byju's,2019,Unknown,edtech,540000000.0,Unknown,Others,Technology
Zest Money,2019,Bangalore,fintech,15000000.0,Series B,Series_Stage,Technology
Witblox,2019,Unknown,edtech,182700.0,Unknown,Others,Technology
Azah Personal Care Pvt. Ltd.,2019,Gurugram,health,0.0,Pre Series A,Pre_Series Stage,Health
SalaryFits,2019,Unknown,fintech,5000000.0,Unknown,Others,Technology
Pristyn Care,2019,Unknown,healthcare,12000000.0,Series B,Series_Stage,Transportation
Springboard,2019,Unknown,edtech,11000000.0,Post Series A,Others,Technology
DROR Labs Pvt. Ltd,2019,Delhi,safety tech,0.0,Unknown,Others,Technology
Medlife,2019,Bangalore,pharmaceutical,15500000.0,Unknown,Others,Others
Seekify,2019,Delhi,saas,1500000.0,Seed Funding,Others,Saas
Toffee Insurance,2019,Haryana,insurance technology,5500000.0,Series A,Series_Stage,Technology
Fireflies .ai,2019,Unknown,ai,5000000.0,Unknown,Others,Ai
HungerBox,2019,Bangalore,foodtech,12000000.0,Series C,Series_Stage,Technology
Bijak,2019,Unknown,agritech,2500000.0,Seed Fund,Others,Technology
Licious,2019,Bangalore,food,30000000.0,Series E,Series_Stage,Restaurant
truMe,2019,Unknown,iot,140000.0,Unknown,Others,Others
Pumpkart,2019,Chandigarh,e-marketplace,0.0,Unknown,Others,Others
Asteria Aerospace,2019,Bangalore,robotics & ai,230000000.0,Unknown,Others,Ai
Rivigo,2019,Unknown,logistics,20000000.0,Series F,Series_Stage,Transportation
HappyEasyGo,2019,Gurugram,travel,49400000.0,Series B+,Series_Stage,Others
Zetwerk,2019,Bangalore,manufacturing,32000000.0,Series B,Series_Stage,Others
Observe.AI,2019,Bangalore,ai,26000000.0,Series A,Series_Stage,Ai
Freshokartz,2019,Jaipur,e-marketplace,150000.0,Pre Series A,Pre_Series Stage,Others
Lil’ Goodness and sCool meal,2019,Bangalore,food & nutrition,400000.0,Unknown,Others,Restaurant
Trell,2019,Bangalore,social media,2000000.0,Pre Series A,Pre_Series Stage,Social
VMate,2019,Unknown,unknown,100000000.0,Unknown,Others,Others
Bombay Shirt Company,2019,Mumbai,e-commerce,8000000.0,Unknown,Others,Others
Slintel,2019,Unknown,saas,1500000.0,Unknown,Others,Saas
MyGameMate,2019,Bangalore,e-sports,100000.0,Unknown,Others,Sports
Afinoz,2019,Noida,fintech,0.0,Unknown,Others,Technology
Rein Games,2019,Noida,technology,50000000.0,Pre Series A,Pre_Series Stage,Technology
Ecozen,2019,Pune,agritech,6000000.0,Series A,Series_Stage,Technology
Box8,2019,Mumbai,foodtech,120000000.0,Unknown,Others,Technology
Awign Enterprises,2019,Bangalore,unknown,4000000.0,Series A,Series_Stage,Others
Purplle,2019,Mumbai,cosmetics,30000000.0,Series C,Series_Stage,Beauty
Freightwalla,2019,Mumbai,b2b,4000000.0,Series A,Series_Stage,B2b
TapChief,2019,Bangalore,unknown,1500000.0,Pre Series A,Pre_Series Stage,Others
eJOHRI,2019,Mumbai,jewellery,1000000.0,Pre Series A,Pre_Series Stage,Others
Ninjacart,2019,Unknown,b2b supply chain,0.0,Unknown,Others,B2b
Binca Games,2019,Mumbai,games,0.0,Unknown,Others,Others
KredX,2019,Bangalore,unknown,26000000.0,Series B,Series_Stage,Others
m.Paani,2019,Mumbai,unknown,5500000.0,Series A,Series_Stage,Others
Origo,2019,Gurugram,agritech,6800000.0,Unknown,Others,Technology
WishADish,2019,Delhi,food & tech,6000000.0,Unknown,Others,Technology
Ecom Express,2019,Gurugram,logistics,36000000.0,Unknown,Others,Transportation
Stanza Living,2019,Delhi,accomodation,5700000.0,Unknown,Others,Others
PiBeam,2019,Chennai,automotive tech,50000000.0,Unknown,Others,Technology
Euler Motors,2019,Delhi,automotive tech,2000000.0,Unknown,Others,Technology
Moms Co,2019,New Delhi,e-commerce,5000000.0,Series B,Series_Stage,Others
Cubical Labs,2019,Unknown,iot,0.0,Series B,Series_Stage,Others
Lawyered,2019,Delhi,legal tech,100000.0,Unknown,Others,Technology
Cuemath,2019,Bangalore,edtech,5500000.0,Unknown,Others,Technology
Licious,2019,Bangalore,food,25000000.0,Series D,Series_Stage,Restaurant
Nivesh.com,2019,Noida,mutual funds,600000.0,Unknown,Others,Others
Zebu,2019,Unknown,cybersecurity,4000000.0,Seed Round,Others,Others
Smart Institute,2019,Surat,edtech,1500000.0,Unknown,Others,Technology
CarDekho,2019,Jaipur,automobile,70000000.0,Series D,Series_Stage,Transportation
Shadowfax,2019,Bangalore,logistics,60000000.0,Series D,Series_Stage,Transportation
Credr,2019,Mumbai,automobile,6000000.0,Unknown,Others,Transportation
Sportido,2019,Noida,sports,0.0,Series B,Series_Stage,Sports
Phable,2019,Unknown,healthtech,220000.0,Unknown,Others,Technology
Sarva,2019,Chennai,yoga & wellness,2800000.0,Unknown,Others,Social
IndyFint,2019,Bangalore,virtual banking,2100000.0,Series A,Series_Stage,Finance
Zolostays,2019,Unknown,accomodation,7000000.0,Unknown,Others,Others
Ola,2019,Bangalore,transportation,311000000.0,Unknown,Others,Transportation
Zoomcar,2019,Bangalore,transport & rentals,4800000.0,Unknown,Others,Transportation
Kratikal,2019,Uttar pradesh,technology,1000000.0,Pre Series A,Pre_Series Stage,Technology
Froogal,2019,Hyderabad,marketing & customer loyalty,1000000.0,Pre Series A,Pre_Series Stage,Marketing
Infra.Market,2019,Mumbai,infratech,20000000.0,Series A,Series_Stage,Technology
Oyo,2019,Gurugram,hospitality,693000000.0,Unknown,Others,Others
GoMechanic,2019,Delhi,automobile & technology,5000000.0,Series B,Series_Stage,Technology
Spinny,2019,Delhi,automobile,50000000.0,Unknown,Others,Transportation
Ess Kay Fincorp,2019,Rajasthan,banking,33000000.0,Unknown,Others,Finance
Aqgromalin,2020,Chennai,agritech,2857.14,Unknown,Others,Technology
Krayonnz,2020,Bangalore,edtech,1428.57,Pre Seed,Pre_Seed Stage,Technology
PadCare Labs,2020,Pune,hygiene management,4710672.330723327,Pre Seed,Pre_Seed Stage,Management
NCOME,2020,New Delhi,escrow,5714.29,Unknown,Others,Others
Gramophone,2020,Indore,agritech,4857.14,Unknown,Others,Technology
qZense,2020,Bangalore,agritech,8571.43,Seed,Seed Stage,Technology
MyClassboard,2020,Hyderabad,edtech,8571.43,Pre Series A,Pre_Series Stage,Technology
Metvy,2020,Gurgaon,networking platform,4710672.330723327,Pre Series,Others,Networking
Rupeek,2020,Bangalore,fintech,642857.14,Series C,Series_Stage,Technology
Gig India,2020,Pune,crowdsourcing,14285.71,Pre Series A,Pre_Series Stage,Finance
Slurrp Farm,2020,Gurgaon,food & bevarages,28571.43,Series A,Series_Stage,Restaurant
Medfin,2020,Bangalore,healthtech,4710672.330723327,Series A,Series_Stage,Technology
MasterG,2020,New Delhi,fashion startup,4710672.330723327,Unknown,Others,Beauty
Brila 91,2020,New Delhi,food & bevarages,17142.86,Unknown,Others,Restaurant
FoodyBuddy,2020,Belgaum,food industry,8571.43,Unknown,Others,Restaurant
Zomato,2020,Gurgaon,food delivery,9428571.43,Unknown,Others,Restaurant
OurEye.ai,2020,Bangalore,virtual auditing startup,1714.29,Unknown,Others,Startup
Shiprocket,2020,New Delhi,e-commerce,107142.86,Series C,Series_Stage,Others
Pine Labs,2020,Noida,fintech,4710672.330723327,Unknown,Others,Technology
Moneyboxx Finance,2020,New Delhi,fintech,14285.71,Unknown,Others,Technology
EWar,2020,Bangalore,gaming,4710672.330723327,Pre Series A,Pre_Series Stage,Others
SucSEED Indovation,2020,Hyderabad,fintech,71428.57,Unknown,Others,Technology
TaxBuddy.com,2020,Mumbai,fintech,14285.71,Unknown,Others,Technology
Awign Enterprises,2020,Bangalore,work fulfillment,7142.86,Unknown,Others,Others
Circle of Angels,2020,Gurgaon,fintech,42857.14,Unknown,Others,Technology
CoinDCX,2020,Mumbai,fintech,142857.14,Series B,Series_Stage,Technology
Glance,2020,Bangalore,ai startup,2071428.57,Unknown,Others,Ai
VerSe Innovation,2020,Bangalore,telecommunication,1428571.43,Unknown,Others,Others
Voosh,2020,Bangalore,food industry,4710672.330723327,Pre Seed,Pre_Seed Stage,Restaurant
Delhivery,2020,Gurgaon,e-commerce,4710672.330723327,Unknown,Others,Others
Arya,2020,Noida,agritech,300000.0,Series B,Series_Stage,Technology
Pickrr,2020,New Delhi,logistics,57142.86,Unknown,Others,Transportation
PhonePe,2020,Andheri,fintech,285714.29,Unknown,Others,Technology
Countingwell,2020,Bangalore,edtech,14285.71,Pre Series A,Pre_Series Stage,Technology
Callify.ai,2020,Mumbai,tech startup,8000.0,Seed,Seed Stage,Technology
Hudle,2020,New Delhi,sports,4710672.330723327,Pre Series A,Pre_Series Stage,Sports
Cover it Up,2020,Chennai,e-commerce,5714.29,Seed,Seed Stage,Others
BiteSpeed,2020,Gurgaon,e-commerce,3928.57,Seed,Seed Stage,Others
WakeFit,2020,Bangalore,retail,285714.29,Series B,Series_Stage,Ai
Sreyas Holistic Remedies,2020,Hyderabad,medtech,14285.71,Unknown,Others,Technology
Fleeca India,2020,Jaipur,tyre management,4710672.330723327,Unknown,Others,Management
M1xchange,2020,Gurgaon,fintech,64285.71,Unknown,Others,Technology
Exotel,2020,Bangalore,cloud company,71428.57,Unknown,Others,Others
PagarBook,2020,Bangalore,software company,214285.71,Series A,Series_Stage,Saas
PointOne Capital,2020,Bangalore,venture capitalist,4710672.330723327,Unknown,Others,Finance
Ayana,2020,Bangalore,renewable player,5571428.57,Unknown,Others,Others
Fisdom,2020,Bangalore,fintech,100000.0,Unknown,Others,Technology
Tinker Coders,2020,Noida,edtech,4710672.330723327,Seed,Seed Stage,Technology
Infinite Uptime,2020,Pune,iot startup,72857.14,Series B,Series_Stage,Startup
HappyLocate,2020,Bangalore,saas startup,7142.86,Pre Series A,Pre_Series Stage,Saas
PhonePe,2020,New Delhi,fintech,10000000.0,Unknown,Others,Technology
Loop Health,2020,Pune,healthtech,32857.14,Seed,Seed Stage,Technology
NeoDocs,2020,Mumbai,healthtech,4710672.330723327,Pre Seed,Pre_Seed Stage,Technology
The ePlane,2020,Chennai,aero company,4710672.330723327,Seed,Seed Stage,Others
TagMango,2020,Mumbai,marketing company,10000.0,Seed,Seed Stage,Marketing
The New Shop,2020,New Delhi,retail startup,7142.86,Seed,Seed Stage,Ai
MobiKwik,2020,Gurgaon,fintech,100000.0,Unknown,Others,Technology
DebugsBunny,2020,Pune,edtech,1428.57,Unknown,Others,Technology
BHIVE Investech,2020,Bangalore,co-working startup,14285.71,Seed,Seed Stage,Startup
Rivigo,2020,Gurgaon,logistics,271428.57,Unknown,Others,Transportation
ZipLoan,2020,New Delhi,finance company,42857.14,Unknown,Others,Finance
Swipez,2020,Pune,fintech,4710672.330723327,Unknown,Others,Technology
Humus,2020,Bangalore,agritech,4710672.330723327,Unknown,Others,Technology
Artivatic.ai,2020,Bangalore,tech company,4710672.330723327,Unknown,Others,Technology
Prescinto,2020,Ahmedabad,solar monitoring company,4710672.330723327,Seed,Seed Stage,Others
Toppeq,2020,Mumbai,saas startup,4710672.330723327,Seed,Seed Stage,Saas
Bolo Indya,2020,Gurgaon,video sharing platform,5714.29,Unknown,Others,Technology
Bombay Play,2020,Bangalore,gaming startup,14285.71,Seed,Seed Stage,Startup
FreshToHome,2020,Bangalore,e-commerce,4710672.330723327,Unknown,Others,Others
KIKO TV,2020,Mumbai,video streaming platform,4710672.330723327,Seed,Seed Stage,Technology
Atomberg Technologies,2020,Mumbai,consumer appliances,128571.43,Series B,Series_Stage,Technology
DealShare,2020,Jaipur,e-commerce,300000.0,Series C,Series_Stage,Others
Smallcase,2020,Bangalore,fintech,4710672.330723327,Unknown,Others,Technology
CueMath,2020,Bangalore,edtech,571428.57,Series C,Series_Stage,Technology
Gamerji,2020,Ahmedabad,gaming startup,4710672.330723327,Seed,Seed Stage,Startup
5C Network,2020,Bangalore,healthtech,17142.86,Pre Series A,Pre_Series Stage,Technology
Ethereum Push Notification Service,2020,Mumbai,blockchain startup,10714.29,Seed,Seed Stage,Ai
Mihup,2020,Kolkata,conversational ai platform,21428.57,Series A,Series_Stage,Ai
RuralBasket,2020,Tirunelveli,e-commerce,7142.86,Unknown,Others,Others
WayCool Foods,2020,Chennai,agritech,111428.57,Debt,Debt Stage,Technology
Infra.Market,2020,Thane,real estate,285714.29,Series B,Series_Stage,Real estate
Info Edge Venture,2020,Noida,venture capitalist,714285.71,Unknown,Others,Finance
Clovia,2020,Noida,e-commerce,57142.86,Pre Series C,Others,Others
Codingal,2020,Bangalore,edtech,8000.0,Seed,Seed Stage,Technology
CRED,2020,Bangalore,finance company,1142857.14,Series C,Series_Stage,Finance
Vistaar Finance,2020,Bangalore,finance company,428571.43,Unknown,Others,Finance
Let's Dive,2020,Bangalore,saas platform,24285.71,Unknown,Others,Saas
Habitat,2020,Unknown,edtech,8571.43,Seed,Seed Stage,Technology
SAWO Labs,2020,Mumbai,saas platform,8571.43,Seed,Seed Stage,Saas
Signzy,2020,Bangalore,ai platform,42857.14,Unknown,Others,Ai
KopyKitab,2020,Bangalore,edtech,4710672.330723327,Unknown,Others,Technology
Kyt,2020,Singapore,edtech,35714.29,Unknown,Others,Technology
Raskik,2020,Unknown,fusion beverages,14285.71,Pre Series A,Pre_Series Stage,Restaurant
GetWork,2020,Gurugram,hr tech,571.43,Pre Seed,Pre_Seed Stage,Technology
Mobile Premier League (MPL),2020,Bangalore,gaming,7142.86,Series B,Series_Stage,Others
Pravasirojgar,2020,Unknown,job portal,471428.57,Unknown,Others,Others
Omatra Hotels,2020,Kolkata,hospitality,4710672.330723327,Seed,Seed Stage,Others
Awign,2020,Bangalore,job portal,4710672.330723327,Pre Series B,Others,Others
NewsReach,2020,Gujarat,digital media,21428.57,Seed,Seed Stage,Others
Cashfree,2020,Bangalore,fintech,500000.0,Series B,Series_Stage,Technology
Credgenics,2020,New Delhi,fintech,42857.14,Pre Series A,Pre_Series Stage,Technology
GeoIQ,2020,Bangalore,ai startup,4285.71,Seed,Seed Stage,Ai
Country Delight,2020,Haryana,dairy startup,357142.86,Series C,Series_Stage,Farming
Quintype,2020,Bangalore,content management,50000.0,Series A,Series_Stage,Management
CARS24,2020,Haryana,retail,2857142.86,Series E,Series_Stage,Ai
Astrogate Labs,2020,Bangalore,spacetech,4710672.330723327,Unknown,Others,Technology
Power Gummies,2020,New Delhi,healthtech,4710672.330723327,Bridge,Later Stage,Technology
Cityflo,2020,Mumbai,transportation,100000.0,Series A,Series_Stage,Transportation
AlgoBulls,2020,Mumbai,trading platform,2857.14,Unknown,Others,Others
Credgenics,2020,Gurugram,fintech,42857.14,Pre Series A,Pre_Series Stage,Technology
Inntot,2020,Kerala,tech company,4710672.330723327,Unknown,Others,Technology
Ensuredit,2020,Gurugram,fintech,4285.71,Pre Series A,Pre_Series Stage,Technology
Shipsy,2020,Gurugram,ai company,85714.29,Series A,Series_Stage,Ai
ERPNext,2020,Mumbai,tech company,14285.71,Unknown,Others,Technology
LightSpeedAI,2020,Bangalore,photonics startup,4710672.330723327,Unknown,Others,Startup
Grip Invest,2020,Gurugram,fintech,4710672.330723327,Pre Series A,Pre_Series Stage,Technology
Unacademy,2020,Bangalore,edtech,4710672.330723327,Unknown,Others,Technology
Yellow Classes,2020,Gurugram,edtech,18571.43,Pre Series A,Pre_Series Stage,Technology
Plum,2020,Bangalore,healthtech,58571.43,Unknown,Others,Technology
STAGE,2020,Indore,entertainment,14285.71,Unknown,Others,Social
Nykaa,2020,Mumbai,cosmetics,4710672.330723327,Unknown,Others,Beauty
Kaagaz Scanner,2020,Unknown,scanning app,8214.29,Unknown,Others,Technology
NIRA,2020,Bangalore,fintech,14285.71,Unknown,Others,Technology
Prolixr,2020,Gurugram,skincare startup,4710672.330723327,Seed,Seed Stage,Transportation
Byju's,2020,Bangalore,edtech,2857142.86,Unknown,Others,Technology
DaMENSCH,2020,Bangalore,e-commerce,85714.29,Unknown,Others,Others
Country Delight,2020,Haryana,food and beverages,357142.86,Series C,Series_Stage,Restaurant
SignalX,2020,Hyderabad,ai startup,11428.57,Seed,Seed Stage,Ai
Lancify,2020,Bangalore,edtech,4285.71,Unknown,Others,Technology
Krimanshi,2020,Jodhpur,biotechnology company,8571.43,Seed,Seed Stage,Technology
Instoried,2020,Bangalore,ai startup,14285.71,Pre Series A,Pre_Series Stage,Ai
PlayerzPot,2020,Mumbai,gaming startup,42857.14,Series A,Series_Stage,Startup
Instamojo,2020,Bangalore,fintech,4710672.330723327,Unknown,Others,Technology
Turtlemint,2020,Mumbai,healthtech,428571.43,Unknown,Others,Technology
Arata,2020,New Delhi,e-commerce,14285.71,Pre Series A,Pre_Series Stage,Others
MPL,2020,Bangalore,gaming startup,71428.57,Unknown,Others,Startup
True Balance,2020,Gurugram,fintech,400000.0,Unknown,Others,Technology
Thrive,2020,Mumbai,foodtech,4710672.330723327,Pre Series A,Pre_Series Stage,Technology
Kitchens Centre,2020,New Delhi,proptech,4710672.330723327,Pre Series A,Pre_Series Stage,Technology
Prescribe,2020,Chennai,healthtech,1428.57,Unknown,Others,Technology
Nepra,2020,Ahmedabad,cleantech,257142.86,Series C,Series_Stage,Technology
inFeedo,2020,Gurugram,saas startup,45714.29,Unknown,Others,Saas
Shilpa Sciences,2020,Bangalore,healthtech,4710672.330723327,Pre Series A,Pre_Series Stage,Technology
Arzooo,2020,Bangalore,tech startup,4710672.330723327,Unknown,Others,Technology
MindTickle,2020,Pune,saas platform,1428571.43,Debt,Debt Stage,Saas
Slice,2020,Bangalore,fintech,71428.57,Debt,Debt Stage,Technology
Rapawalk,2020,Bangalore,e-commerce,4285.71,Seed,Seed Stage,Others
Oga Fit's,2020,Bangalore,fitness startup,4710672.330723327,Pre Series A,Pre_Series Stage,Health
LAVAL,2020,Bangalore,cosmetics,4710672.330723327,Pre Series A,Pre_Series Stage,Beauty
Stride Ventures,2020,New Delhi,venture capitalist,1142857.14,Unknown,Others,Finance
BlackSoil,2020,Mumbai,fintech,142857.14,Unknown,Others,Technology
Biocon,2020,Bangalore,healthcare,214285.71,Unknown,Others,Transportation
Clientjoy,2020,Gujarat,saas startup,11428.57,Pre Series A,Pre_Series Stage,Saas
Xpressbees,2020,Pune,e-commerce,1428571.43,Unknown,Others,Others
GalaxyCard,2020,Gurugram,fintech,4710672.330723327,Seed,Seed Stage,Technology
Wellness Forever,2020,Mumbai,healthtech,1428571.43,Unknown,Others,Technology
MoooFarm,2020,Gurugram,agritech,7142.86,Pre Seed,Pre_Seed Stage,Technology
BitClass,2020,Bangalore,paas startup,28571.43,Seed,Seed Stage,Startup
Gonuts,2020,Mumbai,entertainment,5714.29,Seed,Seed Stage,Social
Uolo,2020,Bangalore,edtech,28571.43,Seed,Seed Stage,Technology
Kirana King,2020,Jaipur,retail,12857.14,Pre Series A,Pre_Series Stage,Ai
Jade Forest,2020,Delhi,beverages,3571.43,Seed,Seed Stage,Restaurant
iKure,2020,Kolkata,healthtech,4710672.330723327,Unknown,Others,Technology
FrontRow,2020,Bangalore,edtech,45714.29,Seed,Seed Stage,Technology
Reliance Retail,2020,Mumbai,e-commerce,142857.14,Unknown,Others,Others
TUBBR,2020,Frisco,social media,4710672.330723327,Unknown,Others,Social
Ather Energy,2020,Bangalore,automobiles,500000.0,Series D,Series_Stage,Transportation
Routematic,2020,Bangalore,saas startup,28571.43,Unknown,Others,Saas
LivFin,2020,New Delhi,fintech,67142.86,Unknown,Others,Technology
Universal Sportsbiz Pvt Ltd,2020,Bangalore,fashion startup,4710672.330723327,Unknown,Others,Beauty
Lattu Kids,2020,Mumbai,edtech,4710672.330723327,Unknown,Others,Technology
Eggoz,2020,Indore,food & bevarages,21428.57,Pre Series A,Pre_Series Stage,Restaurant
Steradian Semiconductors,2020,Bangalore,deeptech,4710672.330723327,Unknown,Others,Technology
CHARGE+ZONE,2020,Gujarat,ev startup,42857.14,Pre Series A,Pre_Series Stage,Startup
Stones2milestones,2020,Gurugram,edtech,28571.43,Bridge,Later Stage,Technology
Udacity,2020,California,edtech,1071428.57,Debt,Debt Stage,Technology
AjnaLens,2020,Thane,ar/vr startup,14285.71,Bridge,Later Stage,Startup
Gully Network,2020,Bangalore,e-commerce,17142.86,Pre Series A,Pre_Series Stage,Others
TurboHire,2020,Hyderabad,recruitment startup,14285.71,Seed,Seed Stage,Startup
Traya,2020,Mumbai,healthtech,4710672.330723327,Seed,Seed Stage,Technology
Charcoal Eats,2020,Mumbai,qsr startup,28571.43,Unknown,Others,Startup
Mitron TV,2020,Bangalore,video platform,4710672.330723327,Unknown,Others,Technology
Svami,2020,Mumbai,food & bevarages,11428.57,Unknown,Others,Restaurant
Dhurnia,2020,Dhingsara,edtech,1428.57,Unknown,Others,Technology
Expertrons,2020,Mumbai,edtech,4710672.330723327,Unknown,Others,Technology
Leena AI,2020,New York,ai startup,114285.71,Unknown,Others,Ai
Bizlog,2020,Bangalore,logistics,14285.71,Unknown,Others,Transportation
Tamasha.live,2020,Mumbai,gaming,4285.71,Unknown,Others,Others
Fedo,2020,Bangalore,ai startup,14285.71,Unknown,Others,Ai
FabHotels,2020,Gurugram,hospitality,14285.71,Unknown,Others,Others
Freshokartz,2020,Jaipur,agritech,14285.71,Pre Series A,Pre_Series Stage,Technology
FlexiLoans,2020,Mumbai,fintech,85714.29,Debt,Debt Stage,Technology
Agrix,2020,Patna,agritech,4710672.330723327,Unknown,Others,Technology
BharatAgri,2020,Pune,agritech,4710672.330723327,Pre Series A,Pre_Series Stage,Technology
FreshtoHome,2020,Bangalore,e-commerce,1728571.43,Series C,Series_Stage,Others
Credable,2020,Mumbai,fintech,64285.71,Unknown,Others,Technology
Railofy,2020,Mumbai,transportation,71428.57,Seed,Seed Stage,Transportation
Finova Capital,2020,Jaipur,fintech,785714.29,Unknown,Others,Technology
Teachmint,2020,Bangalore,edtech,50000.0,Seed,Seed Stage,Technology
Peel-Works,2020,Mumbai,e-commerce,42857.14,Unknown,Others,Others
Janani,2020,Bangalore,fertility tech,2857.14,Pre Seed,Pre_Seed Stage,Technology
Credgenics,2020,Gurugram,fintech,47142.86,Seed,Seed Stage,Technology
Finelistings,2020,New Delhi,luxury car startup,4710672.330723327,Unknown,Others,Transportation
Wellversed,2020,New Delhi,healthcare,4710672.330723327,Pre Series A,Pre_Series Stage,Transportation
Jumbotail,2020,Bangalore,e-commerce,157142.86,Series B2,Series_Stage,Others
Winzo,2020,New Delhi,gaming startup,28571.43,Unknown,Others,Startup
mCaffeine,2020,Mumbai,cosmetics,71428.57,Series B,Series_Stage,Beauty
Pocket FM,2020,Bangalore,fm,71428.57,Series A,Series_Stage,Others
Snackible,2020,Mumbai,healthcare,4710672.330723327,Bridge,Later Stage,Transportation
FreshtoHome,2020,Bangalore,e-commerce,228571.43,Unknown,Others,Others
Jumbotail,2020,Bangalore,retail,157142.86,Series B2,Series_Stage,Ai
Nykaa,2020,Mumbai,e-commerce,4710672.330723327,Unknown,Others,Others
TagZ Foods,2020,Bangalore,food,4710672.330723327,Unknown,Others,Restaurant
Genius Teacher,2020,Mumbai,edtech,28571.43,Unknown,Others,Technology
Krimanshi Feeds,2020,Jodhpur,nutrition sector,7142.86,Unknown,Others,Restaurant
Origo,2020,Gurugram,agritech,57142.86,Debt,Debt Stage,Technology
GetVantage,2020,Mumbai,fintech,71428.57,Seed,Seed Stage,Technology
Betterplace,2020,Bangalore,tech platform,142857.14,Series B,Series_Stage,Technology
Biddano,2020,Mumbai,healthcare,8571.43,Pre Series A,Pre_Series Stage,Transportation
